Id,Category
0,12
1,12
2,12
3,11
4,12
5,12
6,12
7,12
8,12
9,12
10,12
11,12
12,12
13,11
14,12
15,12
16,11
17,12
18,12
19,12
20,12
21,12
22,12
23,0
24,12
25,12
26,12
27,12
28,12
29,12
30,12
31,11
32,12
33,12
34,12
35,11
36,12
37,11
38,12
39,0
40,12
41,12
42,12
43,12
44,12
45,12
46,11
47,12
48,12
49,12
50,11
51,12
52,12
53,12
54,11
55,0
56,11
57,12
58,12
59,11
60,12
61,11
62,12
63,11
64,12
65,12
66,11
67,12
68,0
69,12
70,12
71,12
72,12
73,12
74,12
75,12
76,0
77,12
78,12
79,11
80,12
81,12
82,0
83,12
84,11
85,12
86,12
87,11
88,12
89,12
90,11
91,11
92,11
93,12
94,11
95,12
96,11
97,12
98,11
99,12
100,12
101,12
102,11
103,11
104,11
105,0
106,11
107,12
108,12
109,12
110,12
111,11
112,12
113,12
114,12
115,0
116,12
117,12
118,11
119,11
120,12
121,11
122,12
123,11
124,12
125,11
126,0
127,12
128,12
129,12
130,12
131,12
132,12
133,12
134,12
135,12
136,12
137,12
138,12
139,12
140,12
141,12
142,12
143,11
144,11
145,0
146,12
147,12
148,0
149,12
150,12
151,12
152,12
153,11
154,11
155,11
156,12
157,0
158,12
159,12
160,11
161,12
162,12
163,11
164,11
165,11
166,12
167,11
168,12
169,11
170,11
171,12
172,11
173,12
174,11
175,12
176,12
177,0
178,12
179,12
180,12
181,11
182,11
183,12
184,12
185,11
186,11
187,11
188,12
189,12
190,11
191,12
192,12
193,12
194,12
195,0
196,12
197,12
198,11
199,11
200,12
201,12
202,11
203,12
204,11
205,12
206,12
207,12
208,12
209,12
210,12
211,12
212,12
213,11
214,12
215,0
216,12
217,12
218,0
219,11
220,11
221,12
222,11
223,12
224,12
225,12
226,0
227,11
228,12
229,12
230,12
231,12
232,12
233,12
234,12
235,12
236,12
237,12
238,12
239,11
240,12
241,12
242,0
243,0
244,0
245,11
246,11
247,12
248,11
249,11
250,12
251,11
252,12
253,12
254,12
255,11
256,12
257,12
258,11
259,12
260,11
261,12
262,11
263,12
264,12
265,12
266,12
267,12
268,12
269,11
270,11
271,12
272,11
273,11
274,12
275,11
276,12
277,12
278,12
279,12
280,11
281,12
282,12
283,11
284,11
285,11
286,11
287,12
288,11
289,12
290,12
291,12
292,12
293,11
294,11
295,12
296,12
297,11
298,12
299,12
300,11
301,12
302,12
303,12
304,11
305,12
306,11
307,12
308,11
309,12
310,12
311,12
312,11
313,12
314,11
315,12
316,12
317,11
318,12
319,11
320,12
321,12
322,12
323,12
324,12
325,12
326,12
327,12
328,12
329,12
330,12
331,12
332,12
333,11
334,12
335,12
336,12
337,12
338,12
339,12
340,12
341,11
342,12
343,11
344,12
345,12
346,11
347,12
348,11
349,11
350,11
351,12
352,12
353,12
354,11
355,12
356,12
357,12
358,12
359,11
360,12
361,12
362,12
363,0
364,12
365,12
366,11
367,12
368,12
369,12
370,12
371,11
372,12
373,11
374,12
375,12
376,12
377,12
378,12
379,0
380,12
381,12
382,11
383,12
384,12
385,11
386,12
387,12
388,11
389,11
390,12
391,12
392,11
393,12
394,11
395,12
396,11
397,12
398,12
399,12
400,12
401,11
402,12
403,11
404,12
405,12
406,0
407,12
408,12
409,12
410,12
411,12
412,11
413,12
414,12
415,12
416,11
417,0
418,12
419,12
420,12
421,12
422,12
423,12
424,12
425,11
426,11
427,12
428,12
429,12
430,12
431,11
432,12
433,11
434,11
435,12
436,12
437,11
438,12
439,11
440,11
441,11
442,12
443,12
444,12
445,12
446,0
447,0
448,12
449,12
450,12
451,12
452,12
453,12
454,11
455,12
456,12
457,12
458,12
459,11
460,12
461,12
462,11
463,12
464,12
465,12
466,12
467,12
468,12
469,12
470,12
471,11
472,12
473,12
474,12
475,12
476,11
477,11
478,12
479,11
480,12
481,11
482,11
483,12
484,11
485,11
486,11
487,12
488,11
489,12
490,12
491,12
492,12
493,12
494,12
495,11
496,12
497,12
498,12
499,11
500,12
501,0
502,12
503,12
504,12
505,11
506,12
507,12
508,11
509,12
510,12
511,12
512,11
513,12
514,12
515,12
516,12
517,0
518,11
519,12
520,12
521,0
522,12
523,12
524,11
525,12
526,12
527,12
528,11
529,12
530,12
531,12
532,0
533,0
534,11
535,12
536,12
537,11
538,12
539,11
540,11
541,11
542,11
543,12
544,11
545,12
546,12
547,12
548,12
549,12
550,12
551,12
552,12
553,12
554,12
555,12
556,11
557,12
558,12
559,12
560,12
561,12
562,11
563,11
564,12
565,12
566,12
567,11
568,11
569,12
570,12
571,12
572,12
573,11
574,11
575,12
576,11
577,12
578,12
579,12
580,12
581,12
582,12
583,12
584,11
585,12
586,11
587,12
588,11
589,12
590,12
591,12
592,12
593,12
594,12
595,11
596,11
597,11
598,12
599,12
600,12
601,12
602,12
603,12
604,12
605,12
606,12
607,12
608,12
609,12
610,12
611,12
612,11
613,12
614,12
615,11
616,12
617,12
618,11
619,11
620,12
621,11
622,12
623,11
624,12
625,12
626,12
627,11
628,12
629,12
630,12
631,12
632,12
633,12
634,12
635,11
636,12
637,12
638,11
639,12
640,12
641,12
642,12
643,12
644,12
645,12
646,12
647,12
648,12
649,12
650,0
651,11
652,12
653,12
654,12
655,12
656,11
657,11
658,0
659,12
660,12
661,12
662,12
663,12
664,12
665,12
666,12
667,11
668,11
669,11
670,12
671,12
672,12
673,12
674,12
675,11
676,11
677,0
678,12
679,11
680,12
681,12
682,12
683,11
684,12
685,12
686,12
687,12
688,11
689,12
690,12
691,12
692,11
693,12
694,12
695,12
696,0
697,12
698,12
699,12
700,12
701,12
702,11
703,12
704,12
705,11
706,12
707,12
708,12
709,12
710,12
711,12
712,12
713,11
714,12
715,11
716,12
717,12
718,11
719,12
720,12
721,11
722,11
723,12
724,11
725,12
726,11
727,12
728,11
729,12
730,12
731,11
732,12
733,12
734,12
735,12
736,12
737,12
738,12
739,11
740,12
741,11
742,12
743,12
744,12
745,12
746,0
747,11
748,11
749,11
750,12
751,12
752,12
753,11
754,12
755,12
756,11
757,11
758,12
759,12
760,12
761,11
762,12
763,11
764,11
765,12
766,12
767,11
768,11
769,12
770,12
771,12
772,12
773,12
774,11
775,11
776,11
777,11
778,11
779,11
780,11
781,12
782,12
783,12
784,11
785,12
786,12
787,12
788,12
789,12
790,11
791,12
792,12
793,12
794,0
795,12
796,12
797,11
798,11
799,12
800,12
801,12
802,12
803,12
804,12
805,12
806,11
807,12
808,12
809,12
810,11
811,11
812,12
813,12
814,12
815,11
816,12
817,12
818,11
819,12
820,12
821,0
822,12
823,12
824,12
825,12
826,12
827,12
828,0
829,12
830,11
831,12
832,11
833,12
834,12
835,12
836,12
837,12
838,11
839,12
840,12
841,12
842,12
843,11
844,12
845,12
846,12
847,11
848,12
849,12
850,11
851,12
852,12
853,12
854,12
855,12
856,12
857,12
858,11
859,11
860,12
861,11
862,12
863,12
864,12
865,11
866,12
867,12
868,12
869,12
870,0
871,12
872,0
873,11
874,11
875,12
876,0
877,11
878,12
879,12
880,12
881,12
882,11
883,12
884,11
885,12
886,12
887,12
888,12
889,12
890,11
891,11
892,11
893,12
894,11
895,12
896,12
897,12
898,12
899,12
900,12
901,12
902,12
903,12
904,11
905,11
906,12
907,11
908,11
909,11
910,12
911,11
912,12
913,12
914,12
915,12
916,11
917,12
918,12
919,12
920,11
921,11
922,11
923,12
924,12
925,12
926,12
927,11
928,11
929,0
930,12
931,12
932,12
933,11
934,12
935,12
936,12
937,11
938,12
939,12
940,12
941,12
942,12
943,12
944,12
945,11
946,12
947,12
948,12
949,12
950,11
951,12
952,12
953,11
954,11
955,12
956,12
957,12
958,12
959,11
960,12
961,11
962,12
963,12
964,12
965,12
966,11
967,12
968,0
969,12
970,12
971,12
972,12
973,12
974,12
975,12
976,0
977,12
978,11
979,12
980,11
981,12
982,12
983,12
984,0
985,12
986,12
